,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
195,Nantucket,US,47.91,41.28,-70.1,100,90,10.29
196,Sikasso,ML,78.17,11.32,-5.68,67,98,5.97
197,Surt,LY,62.69,31.21,16.59,90,7,17.13
198,Cap Malheureux,MU,75.33,-19.98,57.61,83,75,13.87
199,Makakilo City,US,70.45,21.35,-158.09,94,1,11.41
200,Tchollire,CM,85.91,8.4,14.17,50,89,2.93
201,Saskylakh,RU,16.43,71.97,114.09,92,100,22.77
202,Sioux Lookout,CA,47.12,50.1,-91.92,39,75,9.17
203,El Fuerte,MX,79.07,26.42,-108.62,23,0,5.35
204,Lata,IN,34.25,30.78,78.62,23,0,4.07
205,Zeya,RU,44.15,53.74,127.27,21,0,10.4
206,Sangar,RU,43.61,63.92,127.47,59,0,10.36
207,Holme,GB,38.98,53.7,-2.31,90,0,2.24
208,Nushki,PK,79.79,29.55,66.02,7,0,4.36
209,Puerto Colombia,CO,80.78,10.99,-74.96,83,75,13.87
210,Fallon,US,42.8,46.84,-105.12,62,90,9.17
211,North Bend,US,55,43.41,-124.22,76,1,17.22
212,Meulaboh,ID,82.49,4.14,96.13,70,99,6.67
213,Arlit,NE,89.15,18.74,7.39,8,1,8.23
214,Mahebourg,MU,74.8,-20.41,57.7,83,75,13.87
215,Tiarei,PF,86,-17.53,-149.33,62,75,8.05
216,Labuhan,ID,91.85,-2.54,115.51,49,40,3.11
217,Buraydah,SA,75.2,26.33,43.97,57,0,10.29
218,Cowra,AU,55,-33.84,148.69,69,0,5.01
219,Asahikawa,JP,66.2,43.76,142.37,34,0,3.36
220,Esperance,TT,78.21,10.24,-61.45,74,20,8.05
221,Ati,TD,90.95,13.21,18.34,7,85,7.92
222,Fortuna,ES,57.04,38.18,-1.13,93,0,3.36
223,Southbridge,US,55.92,42.08,-72.03,87,75,3.36
224,Oranjemund,ZA,58.91,-28.55,16.43,88,32,4.36
225,Eureka,US,51.22,40.8,-124.16,87,75,10.29
226,Kostino,BG,53.94,41.7,25.3,87,93,3.36
227,Villa Rica,PE,61.25,-10.74,-75.27,52,2,4.76
228,Zaysan,KZ,52.61,47.47,84.87,37,77,10.02
229,Mount Isa,AU,71.6,-20.73,139.49,33,0,12.75
230,Iquique,CL,66.2,-20.22,-70.14,68,0,11.41
231,Methoni,GR,53.6,36.82,21.7,87,40,5.82
232,Iskateley,RU,31.91,67.68,53.15,86,95,21.74
233,Talnakh,RU,30.2,69.49,88.39,86,75,29.08
234,Mansa,IN,86.45,23.43,72.66,52,1,10.83
235,Sitka,US,62.01,37.17,-99.65,77,82,11.99
236,Toguchin,RU,59.45,55.24,84.4,46,1,10.92
237,Dubreka,GN,80.6,9.79,-13.52,88,75,2.24
238,Bubaque,GW,79.97,11.28,-15.83,65,75,18.84
239,Palermo,CO,80.6,2.89,-75.43,65,40,9.17
240,Mazagao,BR,80.6,-0.12,-51.29,100,75,6.93
241,Novyye Burasy,RU,56.55,52.13,46.08,76,0,2.24
242,Livingston,US,68.9,32.58,-88.19,88,90,5.82
243,Zenzeli,RU,59.27,45.92,47.05,74,100,16.4
244,East London,ZA,55.85,-33.02,27.91,91,6,5.59
245,Lorengau,PG,85.01,-2.02,147.27,68,100,13.04
246,Egvekinot,RU,27.77,66.32,-179.17,95,99,1.88
247,Corrales,CO,46.67,5.83,-72.84,98,100,3.98
248,Pacific Grove,US,57.51,36.62,-121.92,71,1,16.11
249,Moyale,ET,67.91,3.52,39.05,93,90,3.2
250,Vao,EE,33.35,59.1,26.19,91,63,6.13
251,Helena,US,64.4,46.59,-112.04,27,75,13.87
252,Gao,ML,94.01,16.28,-0.04,12,100,10.54
253,Ulaangom,MN,52.97,49.98,92.07,24,73,3.47
254,Riberalta,BO,74.93,-11,-66.08,97,100,1.61
255,Midland,US,71.65,32,-102.08,60,0,11.41
256,Antofagasta,CL,60.8,-23.65,-70.4,82,0,5.82
257,Hosakote,IN,80.69,16.06,75.46,40,29,10.29
258,Lompoc,US,58.15,34.64,-120.46,55,1,13.87
259,Bambanglipuro,ID,83.21,-7.95,110.28,74,6,6.13
260,Gushikawa,JP,77.74,26.35,127.87,65,75,12.75
261,Jiujiang,CN,78.53,29.73,115.99,33,100,6.76
262,Lagoa,PT,57.72,37.14,-8.45,93,0,4.7
263,Richards Bay,ZA,72.23,-28.77,32.06,83,100,6.53
264,Deputatskiy,RU,26.15,69.3,139.9,93,80,5.61
265,Jacmel,HT,81,18.24,-72.54,68,78,1.68
266,Nalut,LY,60.35,31.86,10.98,65,0,14.7
267,Kankan,GN,81.95,10.38,-9.3,57,100,6.08
268,Mwene-Ditu,CD,69.35,-7.01,23.45,88,49,3.33
269,Bilibino,RU,25.97,68.06,166.44,87,1,3.76
270,Lavrentiya,RU,28.31,65.58,-170.99,97,100,3.91
271,Cayenne,GF,78.8,4.94,-52.33,88,99,10.29
272,Cockburn Town,TC,78.89,21.46,-71.14,81,96,20.31
273,Half Moon Bay,US,57.52,37.46,-122.43,76,90,4.7
274,Pavlodar,KZ,51.8,52.28,76.96,29,0,6.71
275,Yar-Sale,RU,35.33,66.83,70.83,80,3,20.8
276,Impfondo,CD,76.01,1.62,18.06,80,98,2.98
277,Komsomolskiy,RU,32.81,67.55,63.78,89,67,20.27
278,Karaton,ID,84.33,-6.34,106.1,66,20,6.93
279,Sao Lourenco do Sul,BR,75.11,-31.37,-51.98,89,98,13.18
280,Palana,RU,35.15,59.08,159.95,72,4,15.73
281,Norman Wells,CA,35.6,65.28,-126.83,43,40,10.29
282,Lapua,FI,29.61,62.97,23.01,86,75,4.7
283,Boa Vista,BR,78.8,2.82,-60.67,83,40,8.05
284,Vung Tau,VN,89.33,10.35,107.08,62,20,5.99
285,Nanortalik,GL,36.95,60.14,-45.24,87,100,3.78
286,Ambilobe,MG,76.01,-13.19,49.05,74,0,10.27
287,Vigrestad,NO,39.18,58.57,5.7,60,0,13.87
288,Rabo de Peixe,PT,59,37.8,-25.58,77,75,9.17
289,Hervey Bay,AU,74.88,-25.3,152.85,46,0,11.41
290,Matay,EG,67.19,28.42,30.79,40,0,8.72
291,Monze,ZM,63.23,-16.28,27.48,76,1,5.01
292,Sulangan,PH,86.99,11.14,123.72,62,22,5.01
293,Mount Gambier,AU,57.2,-37.83,140.78,76,90,4.7
294,Pulivendla,IN,87.71,14.42,78.23,42,91,13.89
295,Airai,TL,88.43,-8.93,125.41,49,2,2.57
296,Dunedin,NZ,55.99,-45.87,170.5,83,91,3
297,Victoria,BN,83.55,5.28,115.24,70,75,3.36
298,Araouane,ML,84.47,18.9,-3.53,18,21,11.34
299,La Romana,DO,77.36,18.43,-68.97,88,75,5.12
300,Kibala,TD,82.4,9.11,18.35,58,0,6.55
301,Grand Gaube,MU,75.29,-20.01,57.66,83,75,13.87
302,Hithadhoo,MV,83.75,-0.6,73.08,74,28,4.45
303,Young,UY,69.01,-32.7,-57.63,98,74,6.69
304,Vila Velha,BR,81.68,-3.71,-38.6,74,0,11.41
305,Skanderborg,DK,33.89,56.04,9.93,93,1,9.17
306,Leopold,US,57.24,38.1,-86.58,100,90,9.17
307,Burnie,AU,64.04,-41.05,145.91,47,1,4
308,Sambava,MG,68.63,-14.27,50.17,99,11,3.4
309,Kutulik,RU,55.49,53.35,102.79,29,1,2.77
310,Saint-Augustin,FR,37.78,44.83,-0.61,86,0,4.7
311,Mehamn,NO,29.39,71.03,27.85,87,100,15.55
312,Ebeltoft,DK,33.73,56.2,10.68,79,0,4.7
313,Barra do Garcas,BR,73.49,-15.89,-52.26,79,16,2.46
314,Arraial do Cabo,BR,78.8,-22.97,-42.02,78,40,5.82
315,Antibes,FR,48.16,43.58,7.11,54,0,11.41
316,Boda,BD,75.2,26.2,88.56,100,75,3.36
317,Codrington,AU,69.87,-28.95,153.24,49,0,8.05
318,Kandrian,PG,81.77,-6.21,149.55,85,70,3.2
319,Shaowu,CN,78.17,27.34,117.49,41,97,4
320,Mecca,SA,85.01,21.43,39.83,42,0,3.47
321,Trabzon,TR,51.8,41.01,39.72,81,42,2.24
322,Pontianak,ID,86,-0.02,109.34,79,40,4.7
323,Goderich,CA,40.86,43.74,-81.71,93,70,4.88
324,Nouadhibou,MR,64.4,20.93,-17.03,72,0,18.34
325,Telenesti,MD,53.92,47.5,28.37,76,0,11.41
326,Dankov,RU,48.2,53.25,39.16,100,0,8.95
327,Mitsamiouli,KM,83.21,-11.38,43.28,75,24,10.58
328,Ondangwa,NA,67.19,-17.91,15.98,36,0,6.71
329,Varkaus,FI,32,62.32,27.87,87,90,8.05
330,Traverse City,US,46.51,44.76,-85.62,76,1,9.95
331,Manbij,SY,54.14,36.53,37.96,81,0,2.24
332,Koutiala,ML,87.17,12.39,-5.46,45,87,7.9
333,Pajapan,MX,87.8,18.26,-94.69,74,75,9.17
334,Isangel,VU,84.2,-19.55,169.27,58,75,11.41
335,Aklavik,CA,30.2,68.22,-135.01,50,75,10.29
336,Nelson,CA,46.13,49.49,-117.29,70,42,2.44
337,Kazachinskoye,RU,55.31,57.69,93.28,45,69,5.7
338,Namatanai,PG,77.81,-3.66,152.44,88,100,17
339,Nanganga,TZ,67.55,-10.41,39.17,98,37,3.47
340,Tromso,NO,20.88,69.65,18.96,85,50,8.05
341,Kavieng,PG,83.21,-2.57,150.8,79,100,19.17
342,Deep River,CA,46.36,46.1,-77.49,66,1,1.99
343,Salinas,US,57.94,36.67,-121.66,71,1,16.11
344,Viedma,AR,58.55,-40.81,-62.99,69,44,13.73
345,Severo-Kurilsk,RU,34.97,50.68,156.12,91,97,8.68
346,Husavik,CA,45.12,50.56,-96.99,33,80,5.01
347,Alexandria,US,68.68,31.31,-92.44,88,75,4.7
348,Caxito,BR,78.8,-22.65,-42.51,78,40,5.82
349,Nara,JP,71.33,34.68,135.8,46,75,5.82
350,Razdolinsk,RU,52.07,58.42,94.62,52,76,8.08
351,Caluquembe,AO,58.55,-13.78,14.68,65,48,3.44
352,Bandarbeyla,SO,78.53,9.49,50.81,82,0,6.69
353,Paamiut,GL,37.67,61.99,-49.67,76,100,16.87
354,Pavilosta,LV,33.87,56.89,21.19,82,1,5.99
355,Tual,ID,80.69,-5.67,132.75,84,100,6.15
356,Hamilton,BM,71.24,32.3,-64.78,83,40,18.34
357,Gallup,US,70.61,35.53,-108.74,10,1,14.99
358,Jardim,BR,70.07,-21.48,-56.15,89,0,5.1
359,Gawler,AU,63.39,-34.6,138.75,48,75,9.17
360,General Roca,AR,59,-39.03,-67.58,51,0,3.36
361,Whitehorse,CA,40.24,60.72,-135.06,80,90,10.29
362,Wilmington,US,65.61,39.75,-75.55,82,90,3.53
363,Samarai,PG,82.49,-10.62,150.67,69,71,5.82
364,San Cristobal,EC,54.23,-0.39,-78.55,87,75,3.36
365,Kalabo,ZM,64.31,-15,22.67,54,39,3.11
366,Joshimath,IN,55.13,30.57,79.57,9,0,4.94
367,Dolores,AR,60.71,-36.31,-57.68,92,25,6.62
368,Changying,CN,46.13,52.87,123.32,22,0,11.41
369,Thaton,MM,87.71,16.91,97.37,69,100,5.48
370,Masalli,KR,68,34.8,126.66,56,38,4.7
371,Port Shepstone,ZA,59.81,-30.74,30.45,91,100,2.68
372,Areosa,PT,56.61,41.72,-8.86,76,0,7.29
373,Eyl,SO,80.87,7.98,49.82,80,30,8.52
374,Edd,ER,86.27,13.93,41.69,25,26,3.2
375,Ukiah,US,60.35,39.15,-123.21,51,0,2.71
376,Broken Hill,AU,55.4,-31.97,141.45,62,0,11.41
377,Lesosibirsk,RU,53.69,58.22,92.49,53,84,5.35
378,Faanui,PF,82.13,-16.48,-151.75,78,16,14.9
379,Avera,US,72.73,33.19,-82.53,73,90,5.88
380,Beringovskiy,RU,32.63,63.05,179.32,80,96,6.87
381,Ketchikan,US,51.8,55.34,-131.65,57,90,10.29
382,Margate,AU,55.56,-43.03,147.26,58,75,10.29
383,Taoudenni,ML,81.59,22.68,-3.98,12,0,10
384,Anori,BR,74.93,-3.74,-61.66,97,76,1.54
385,Tadine,NC,77.27,-21.55,167.88,74,100,19.01
386,Inhambane,MZ,65.03,-23.87,35.38,95,0,0.63
387,Male,UA,50.45,50.74,33.7,93,22,9.93
388,Pedernales,EC,81.23,0.07,-80.05,76,83,4.81
389,Tommot,RU,41.81,58.97,126.27,58,44,7.43
390,Kuandian,CN,49.01,40.73,124.78,75,93,10.31
391,Kathmandu,NP,68,27.71,85.32,82,20,2.24
392,Japura,ID,83.21,-0.42,102.29,85,100,2.75
393,Ixtapa,MX,77.97,20.71,-105.21,69,75,6.93
394,Kati,ML,84.2,12.75,-8.07,54,0,4.7
395,Bonfim,BR,69.8,-20.33,-44.24,77,0,5.82
396,Mounana,GA,71.33,-1.38,13.16,94,100,2.62
397,Anloga,GH,78.8,5.79,0.9,94,20,2.24
398,Kargasok,RU,54.23,59.06,80.87,65,72,9.28
399,Port Lincoln,AU,60.89,-34.72,135.86,59,0,1.88
400,Vostok,RU,73.13,46.45,135.83,30,92,12.3
401,Millinocket,US,48.22,45.66,-68.71,71,1,3.36
402,Bonavista,CA,37,48.65,-53.11,87,100,9.4
403,Sorland,NO,37.13,67.67,12.69,55,48,14.83
404,Guerrero Negro,MX,61.43,27.97,-114.04,85,0,13.6
405,Menongue,AO,56.39,-14.66,17.68,65,42,2.51
406,Waitati,NZ,55.99,-45.75,170.57,84,91,3
407,Gananoque,CA,47.5,44.33,-76.16,87,40,2.57
408,Juneau,US,45.03,58.3,-134.42,87,90,6.93
409,Almaznyy,RU,46.4,48.03,40.04,87,0,4.47
410,Khandagayty,MN,47.39,50.73,92.07,21,31,2.57
411,Merauke,ID,82.31,-8.49,140.4,78,100,10.49
412,Dekar,BW,63.41,-21.53,21.93,37,0,8.23
413,Curup,ID,80.33,-3.47,102.53,58,2,4.83
414,Skibbereen,IE,41,51.55,-9.27,68,0,4.7
415,Kaposmero,HU,48.2,46.36,17.7,87,90,19.46
416,Gunjur,GM,71.6,13.18,-16.76,73,0,11.41
417,Abbeville,FR,39.22,50.11,1.83,93,9,8.05
418,Roebourne,AU,91.85,-20.77,117.15,10,8,14.43
419,Umm Lajj,SA,78.35,25.02,37.27,71,53,14.32
420,Kirkkonummi,FI,29.86,60.12,24.44,84,20,6.93
421,Tabou,CI,75.11,4.42,-7.36,96,100,2.51
422,Marawi,PH,84,8,124.29,71,39,4
423,Abu Samrah,SY,57.47,35.3,37.18,68,61,4.36
424,Noumea,NC,80.6,-22.28,166.46,61,75,9.17
425,Ozinki,RU,58.37,51.2,49.73,70,100,6.78
426,Yenagoa,NG,76.73,4.92,6.26,97,96,4.16
427,Irbeyskoye,RU,58.19,55.64,95.45,29,0,6.02
428,Diffa,NE,85.91,13.32,12.61,11,99,4.34
429,Buin,CL,57.2,-33.73,-70.74,82,0,6.93
430,Ambon,FR,38.59,47.55,-2.56,68,0,4.7
431,Gazli,UZ,69.35,40.13,63.45,29,0,18.03
432,Moerai,PF,76.01,-22.43,-151.33,75,5,15.82
433,Salta,AR,64.4,-24.79,-65.41,88,75,3.36
434,Sosnovo-Ozerskoye,RU,48.47,52.53,111.54,25,96,11.86
435,Bamako,ML,84.2,12.65,-8,54,0,4.7
436,Kupang,ID,80.6,-10.16,123.6,65,75,6.93
437,Paita,PE,70.61,-5.09,-81.11,92,45,13.22
